OBJECTID_12,OBJECTID,latitude,longitude,property_type,room_type,accommodates,price,FID_1,OBJECTID_1,FID_1_1,OBJECTID_2,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,AREA_SQFT,AREA_ACRES,POP100_RE,HU100_RE,LOGPL94171,LOGSF1,LOGACS0610,LOGSF1C,SHAPE_Leng,Count_,Sum_Field1,Sum_Lat,Sum_Long,Sum_Aggrav,Sum_Aircra,Sum_Arson,Sum_Assemb,Sum_Auto_T,Sum_Auto_1,Sum_Ballis,Sum_Bomb_H,Sum_Commer,Sum_Crimin,Sum_Disord,Sum_Drug_V,Sum_Explos,Sum_Firear,Sum_HOME_I,Sum_Harass,Sum_Homici,Sum_Mansla,Sum_Offens,Sum_Reside,Sum_Robber,Sum_Search,Sum_Simple,Sum_Vandal,Sum_Warran,Shape_Le_1
4011,432,42.339250000000000,-71.159599999999998,Apartment,Entire home/apt,3,250,165,166,168,849,25,025,000502,25025000502,5.02,Census Tract 5.02,G5020,863889.000000000000000,334529.000000000000000,+42.3315048,-071.1574973,12898832.449999999254942,296.116399999999999,6303,2041,0174864,147854,0003849,0147854,5645.450450289999935,32,365157,1354.815232259999902,-2276.877390369999830,1,0,0,1,2,0,0,0,0,0,2,2,0,0,0,3,0,0,0,3,3,0,10,5,0,5645.450450229999660
4012,608,42.337229999999998,-71.151430000000005,Apartment,Private room,1,200,165,166,168,849,25,025,000502,25025000502,5.02,Census Tract 5.02,G5020,863889.000000000000000,334529.000000000000000,+42.3315048,-071.1574973,12898832.449999999254942,296.116399999999999,6303,2041,0174864,147854,0003849,0147854,5645.450450289999935,32,365157,1354.815232259999902,-2276.877390369999830,1,0,0,1,2,0,0,0,0,0,2,2,0,0,0,3,0,0,0,3,3,0,10,5,0,5645.450450229999660
4013,918,42.335889999999999,-71.148949999999999,Apartment,Private room,2,39,165,166,168,849,25,025,000502,25025000502,5.02,Census Tract 5.02,G5020,863889.000000000000000,334529.000000000000000,+42.3315048,-071.1574973,12898832.449999999254942,296.116399999999999,6303,2041,0174864,147854,0003849,0147854,5645.450450289999935,32,365157,1354.815232259999902,-2276.877390369999830,1,0,0,1,2,0,0,0,0,0,2,2,0,0,0,3,0,0,0,3,3,0,10,5,0,5645.450450229999660
4014,1003,42.340000000000003,-71.153520000000000,Loft,Entire home/apt,4,245,165,166,168,849,25,025,000502,25025000502,5.02,Census Tract 5.02,G5020,863889.000000000000000,334529.000000000000000,+42.3315048,-071.1574973,12898832.449999999254942,296.116399999999999,6303,2041,0174864,147854,0003849,0147854,5645.450450289999935,32,365157,1354.815232259999902,-2276.877390369999830,1,0,0,1,2,0,0,0,0,0,2,2,0,0,0,3,0,0,0,3,3,0,10,5,0,5645.450450229999660
4015,1038,42.339979999999997,-71.155050000000003,Apartment,Entire home/apt,3,74,165,166,168,849,25,025,000502,25025000502,5.02,Census Tract 5.02,G5020,863889.000000000000000,334529.000000000000000,+42.3315048,-071.1574973,12898832.449999999254942,296.116399999999999,6303,2041,0174864,147854,0003849,0147854,5645.450450289999935,32,365157,1354.815232259999902,-2276.877390369999830,1,0,0,1,2,0,0,0,0,0,2,2,0,0,0,3,0,0,0,3,3,0,10,5,0,5645.450450229999660
4016,1092,42.340789999999998,-71.153670000000005,Apartment,Private room,2,55,165,166,168,849,25,025,000502,25025000502,5.02,Census Tract 5.02,G5020,863889.000000000000000,334529.000000000000000,+42.3315048,-071.1574973,12898832.449999999254942,296.116399999999999,6303,2041,0174864,147854,0003849,0147854,5645.450450289999935,32,365157,1354.815232259999902,-2276.877390369999830,1,0,0,1,2,0,0,0,0,0,2,2,0,0,0,3,0,0,0,3,3,0,10,5,0,5645.450450229999660
4017,1191,42.338670000000000,-71.157030000000006,Apartment,Entire home/apt,2,100,165,166,168,849,25,025,000502,25025000502,5.02,Census Tract 5.02,G5020,863889.000000000000000,334529.000000000000000,+42.3315048,-071.1574973,12898832.449999999254942,296.116399999999999,6303,2041,0174864,147854,0003849,0147854,5645.450450289999935,32,365157,1354.815232259999902,-2276.877390369999830,1,0,0,1,2,0,0,0,0,0,2,2,0,0,0,3,0,0,0,3,3,0,10,5,0,5645.450450229999660
4018,1213,42.338490000000000,-71.155339999999995,Apartment,Entire home/apt,4,120,165,166,168,849,25,025,000502,25025000502,5.02,Census Tract 5.02,G5020,863889.000000000000000,334529.000000000000000,+42.3315048,-071.1574973,12898832.449999999254942,296.116399999999999,6303,2041,0174864,147854,0003849,0147854,5645.450450289999935,32,365157,1354.815232259999902,-2276.877390369999830,1,0,0,1,2,0,0,0,0,0,2,2,0,0,0,3,0,0,0,3,3,0,10,5,0,5645.450450229999660
4019,1637,42.337530000000001,-71.159430000000000,House,Entire home/apt,8,390,165,166,168,849,25,025,000502,25025000502,5.02,Census Tract 5.02,G5020,863889.000000000000000,334529.000000000000000,+42.3315048,-071.1574973,12898832.449999999254942,296.116399999999999,6303,2041,0174864,147854,0003849,0147854,5645.450450289999935,32,365157,1354.815232259999902,-2276.877390369999830,1,0,0,1,2,0,0,0,0,0,2,2,0,0,0,3,0,0,0,3,3,0,10,5,0,5645.450450229999660
4020,2317,42.339570000000002,-71.158199999999994,Apartment,Entire home/apt,6,617,165,166,168,849,25,025,000502,25025000502,5.02,Census Tract 5.02,G5020,863889.000000000000000,334529.000000000000000,+42.3315048,-071.1574973,12898832.449999999254942,296.116399999999999,6303,2041,0174864,147854,0003849,0147854,5645.450450289999935,32,365157,1354.815232259999902,-2276.877390369999830,1,0,0,1,2,0,0,0,0,0,2,2,0,0,0,3,0,0,0,3,3,0,10,5,0,5645.450450229999660
4021,2344,42.339649999999999,-71.157070000000004,Apartment,Entire home/apt,6,617,165,166,168,849,25,025,000502,25025000502,5.02,Census Tract 5.02,G5020,863889.000000000000000,334529.000000000000000,+42.3315048,-071.1574973,12898832.449999999254942,296.116399999999999,6303,2041,0174864,147854,0003849,0147854,5645.450450289999935,32,365157,1354.815232259999902,-2276.877390369999830,1,0,0,1,2,0,0,0,0,0,2,2,0,0,0,3,0,0,0,3,3,0,10,5,0,5645.450450229999660
4022,2348,42.339550000000003,-71.156279999999995,Apartment,Entire home/apt,6,617,165,166,168,849,25,025,000502,25025000502,5.02,Census Tract 5.02,G5020,863889.000000000000000,334529.000000000000000,+42.3315048,-071.1574973,12898832.449999999254942,296.116399999999999,6303,2041,0174864,147854,0003849,0147854,5645.450450289999935,32,365157,1354.815232259999902,-2276.877390369999830,1,0,0,1,2,0,0,0,0,0,2,2,0,0,0,3,0,0,0,3,3,0,10,5,0,5645.450450229999660
