latitude,longitude,property_type,room_type,accommodates,price
42.34952,-71.07101,Condominium,Entire home/apt,2,200
42.34322,-71.07211,Apartment,Entire home/apt,3,160
42.35033,-71.065,Apartment,Entire home/apt,3,175
42.3274,-71.10508,Condominium,Private room,2,65
42.35757,-71.06366,Apartment,Entire home/apt,4,150
42.36019,-71.05588,Loft,Entire home/apt,5,325
42.28284,-71.07116,Apartment,Private room,2,65
42.32451,-71.10541,House,Private room,2,75
42.27479,-71.06772,House,Private room,2,50
42.28439,-71.06912,Apartment,Private room,2,65
42.36378,-71.05564,Condominium,Entire home/apt,3,175
42.28195,-71.14102,House,Private room,2,85
42.34623,-71.07364,Townhouse,Private room,1,140
42.3602,-71.0684,Apartment,Shared room,1,50
42.38241,-71.07086,Apartment,Entire home/apt,5,595
42.31395,-71.11601,Apartment,Entire home/apt,4,185
42.34762,-71.08495,Apartment,Entire home/apt,7,695
42.26118,-71.11989,House,Entire home/apt,8,249
42.31111,-71.08654,Townhouse,Entire home/apt,10,450
42.35042,-71.09295,Apartment,Entire home/apt,2,175
42.34217,-71.15294,Apartment,Entire home/apt,2,99
42.31804,-71.11687,Apartment,Private room,1,95
42.35188,-71.06418,Apartment,Entire home/apt,3,175
42.31912,-71.05745,Apartment,Private room,2,60
42.36571,-71.0556,Apartment,Entire home/apt,2,125
42.23597,-71.13151,Guest suite,Entire home/apt,6,91
42.34858,-71.15872,House,Private room,3,115
42.35057,-71.06423,Apartment,Entire home/apt,5,350
42.28703,-71.13354,Apartment,Entire home/apt,3,125
42.31503,-71.06214,Guest suite,Entire home/apt,4,120
42.31158,-71.05121,House,Private room,2,95
42.35258,-71.0826,Apartment,Entire home/apt,2,175
42.3433,-71.10016,Other,Entire home/apt,5,298
42.36005,-71.14669,House,Private room,2,75
42.33489,-71.03295,Condominium,Entire home/apt,2,370
42.32953,-71.09275,Townhouse,Private room,2,95
42.31322,-71.0617,House,Private room,2,70
42.35669,-71.07297,Apartment,Entire home/apt,2,275
42.35273,-71.08194,Apartment,Entire home/apt,2,119
42.35155,-71.06816,Condominium,Entire home/apt,3,550
42.35506,-71.07073,Apartment,Entire home/apt,2,220
42.36421,-71.05408,Apartment,Entire home/apt,2,160
42.31943,-71.09432,Guest suite,Entire home/apt,4,90
42.35457,-71.15949,House,Entire home/apt,8,260
42.33909,-71.04867,Condominium,Entire home/apt,4,249
42.305,-71.10719,Apartment,Private room,1,98
42.3578,-71.06304,Apartment,Entire home/apt,3,288
42.30629,-71.08271,House,Private room,2,37
42.32328,-71.05986,Serviced apartment,Hotel room,6,150
42.35844,-71.06153,Apartment,Entire home/apt,2,100
42.28028,-71.13587,House,Private room,1,50
42.32567,-71.10543,Apartment,Entire home/apt,4,120
42.3089,-71.11869,House,Entire home/apt,5,325
42.34379,-71.07286,Apartment,Entire home/apt,3,206
42.35336,-71.08158,Apartment,Entire home/apt,2,97
42.32909,-71.09457,Apartment,Entire home/apt,4,169
42.28522,-71.07769,House,Shared room,2,100
42.36736,-71.0392,Apartment,Entire home/apt,2,96
42.29745,-71.0585,Apartment,Entire home/apt,6,125
42.30804,-71.04788,House,Private room,4,68
42.31793,-71.07923,Apartment,Private room,1,38
42.36381,-71.0516,Apartment,Entire home/apt,4,180
42.35573,-71.13072,Apartment,Private room,2,70
42.29982,-71.11257,Condominium,Private room,1,88
42.34645,-71.1349,Apartment,Entire home/apt,2,100
42.34611,-71.0781,Apartment,Entire home/apt,4,150
42.31755,-71.07963,Apartment,Private room,1,33
42.32923,-71.07976,House,Private room,2,95
42.37191,-71.06333,Townhouse,Entire home/apt,7,500
42.34496,-71.10453,Condominium,Entire home/apt,2,179
42.33126,-71.04615,Condominium,Shared room,1,98
42.38736,-71.01042,Apartment,Entire home/apt,4,110
42.3365,-71.0757,Apartment,Entire home/apt,6,500
42.37644,-71.06535,Bed and breakfast,Private room,2,210
42.35764,-71.0657,Apartment,Entire home/apt,4,225
42.34325,-71.10066,Other,Entire home/apt,3,213
42.34355,-71.10237,Other,Entire home/apt,3,213
42.36509,-71.11964,Apartment,Entire home/apt,6,112
42.31168,-71.10613,House,Private room,4,85
42.38679,-71.00302,House,Private room,4,52
42.38643,-71.00415,House,Private room,3,58
42.38662,-71.00325,House,Private room,2,54
42.38664,-71.00259,House,Private room,4,48
42.38484,-71.00451,House,Private room,4,58
42.386,-71.00402,House,Private room,4,58
42.38692,-71.00574,House,Private room,3,66
42.38641,-71.00308,House,Private room,2,52
42.38615,-71.00327,House,Private room,2,58
42.29111,-71.13134,House,Private room,2,85
42.33763,-71.07395,Apartment,Entire home/apt,5,195
42.3507,-71.0907,Apartment,Entire home/apt,3,195
42.29559,-71.11942,Apartment,Private room,2,50
42.29553,-71.11929,Apartment,Private room,2,50
42.35639,-71.05201,Apartment,Entire home/apt,2,155
42.31633,-71.0991,House,Private room,2,120
42.35227,-71.08257,Apartment,Entire home/apt,1,139
42.29572,-71.11942,Apartment,Private room,2,50
42.34517,-71.1005,Other,Entire home/apt,5,298
42.34453,-71.0798,Apartment,Entire home/apt,3,231
42.34371,-71.09767,Apartment,Entire home/apt,5,500
42.35448,-71.06131,Apartment,Entire home/apt,2,289
42.34399,-71.08232,Apartment,Entire home/apt,4,250
42.28175,-71.14032,House,Private room,2,85
42.36596,-71.05268,Apartment,Entire home/apt,2,229
42.33502,-71.05488,House,Entire home/apt,7,265
42.30236,-71.11491,Apartment,Entire home/apt,2,125
42.35631,-71.06134,Apartment,Entire home/apt,2,279
42.31162,-71.1091,House,Entire home/apt,8,200
42.34603,-71.07992,Apartment,Entire home/apt,5,293
42.35272,-71.06371,Apartment,Entire home/apt,3,239
42.3533,-71.07272,Apartment,Entire home/apt,2,225
42.36739,-71.0524,Apartment,Entire home/apt,2,259
42.33614,-71.03553,Apartment,Entire home/apt,8,499
42.28554,-71.0667,Condominium,Private room,1,49
42.31825,-71.05789,Condominium,Private room,2,99
42.35524,-71.06121,Apartment,Entire home/apt,3,220
42.31739,-71.10003,House,Private room,2,75
42.313,-71.10931,Apartment,Private room,2,98
42.34962,-71.09322,Apartment,Entire home/apt,4,250
42.30398,-71.10449,Apartment,Private room,2,80
42.32943,-71.09308,Townhouse,Private room,3,91
42.35123,-71.06408,Apartment,Entire home/apt,2,200
42.34067,-71.0769,Apartment,Entire home/apt,4,175
42.33179,-71.03819,Apartment,Entire home/apt,2,175
42.33814,-71.07563,Apartment,Entire home/apt,4,280
42.39067,-71.00386,House,Private room,2,100
42.38921,-71.00268,House,Private room,1,170
42.30641,-71.11151,House,Private room,2,71
42.31158,-71.11171,Apartment,Private room,2,150
42.34094,-71.07704,Apartment,Entire home/apt,7,300
42.34237,-71.0756,Apartment,Entire home/apt,4,175
42.34455,-71.145,Apartment,Private room,1,195
42.35469,-71.08154,Apartment,Entire home/apt,3,259
42.34717,-71.0713,Apartment,Entire home/apt,3,200
42.35365,-71.14827,House,Entire home/apt,5,138
42.35158,-71.06173,Other,Entire home/apt,5,312
42.345,-71.07949,Apartment,Entire home/apt,5,293
42.27897,-71.13671,House,Private room,1,50
42.36081,-71.06419,Apartment,Entire home/apt,2,150
42.34362,-71.0773,Apartment,Entire home/apt,2,150
42.34468,-71.07762,Apartment,Entire home/apt,2,150
42.3639,-71.06997,Apartment,Entire home/apt,5,289
42.36341,-71.06763,Apartment,Entire home/apt,3,209
42.345,-71.07955,Apartment,Entire home/apt,5,293
42.35011,-71.0837,Apartment,Entire home/apt,2,150
42.35592,-71.05977,Apartment,Entire home/apt,2,259
42.35283,-71.06358,Apartment,Entire home/apt,3,239
42.37848,-71.06497,Apartment,Entire home/apt,6,299
42.31359,-71.12262,House,Entire home/apt,11,250
42.35768,-71.12937,Townhouse,Entire home/apt,6,500
42.27175,-71.16148,House,Private room,2,38
42.3439,-71.08754,Apartment,Entire home/apt,3,190
42.36562,-71.05698,Condominium,Entire home/apt,4,280
42.32961,-71.09341,Townhouse,Private room,1,63
42.34183,-71.0724,Apartment,Entire home/apt,2,195
42.32953,-71.09199,Apartment,Entire home/apt,3,130
42.36389,-71.05199,Apartment,Entire home/apt,6,159
42.36381,-71.05342,Apartment,Entire home/apt,6,159
42.36395,-71.05159,Apartment,Entire home/apt,5,289
42.34715,-71.09299,Apartment,Entire home/apt,4,85
42.36467,-71.06844,Apartment,Entire home/apt,2,125
42.36322,-71.05145,Apartment,Entire home/apt,1,89
42.30455,-71.11553,Apartment,Entire home/apt,9,195
42.33241,-71.05115,House,Entire home/apt,6,199
42.31483,-71.11295,House,Private room,1,90
42.31646,-71.07952,Apartment,Private room,1,36
42.31736,-71.07972,Apartment,Private room,1,36
42.36416,-71.06812,Apartment,Entire home/apt,4,310
42.34357,-71.08195,Apartment,Private room,2,100
42.37911,-71.03406,Apartment,Entire home/apt,8,250
42.3449,-71.07685,Apartment,Entire home/apt,2,150
42.31644,-71.08073,Apartment,Private room,1,36
42.33529,-71.03526,Apartment,Entire home/apt,3,200
42.34425,-71.15592,Apartment,Entire home/apt,1,49
42.36114,-71.06521,Apartment,Entire home/apt,4,305
42.37769,-71.03579,House,Private room,2,105
42.34464,-71.09899,Apartment,Private room,2,110
42.35989,-71.06707,Apartment,Entire home/apt,2,197
42.33925,-71.1596,Apartment,Entire home/apt,3,250
42.34771,-71.1554,House,Entire home/apt,12,450
42.33001,-71.11277,Apartment,Private room,3,103
42.25486,-71.12737,House,Entire home/apt,7,135
42.35977,-71.13535,House,Private room,2,41
42.2767,-71.08145,House,Private room,1,24
42.35588,-71.07261,Apartment,Entire home/apt,4,200
42.36403,-71.05949,Apartment,Entire home/apt,2,200
42.32509,-71.10723,Apartment,Entire home/apt,2,75
42.33186,-71.11196,Apartment,Entire home/apt,4,109
42.36054,-71.06886,Apartment,Entire home/apt,3,250
42.3155,-71.11707,House,Private room,2,65
42.3803,-71.03704,Apartment,Entire home/apt,2,99
42.33569,-71.05127,House,Private room,2,130
42.33775,-71.05145,House,Private room,2,122
42.35383,-71.07671,Apartment,Entire home/apt,2,150
42.31526,-71.05715,Apartment,Entire home/apt,9,500
42.35261,-71.07603,Apartment,Private room,1,100
42.35049,-71.13328,Apartment,Entire home/apt,3,99
42.36401,-71.06782,Apartment,Entire home/apt,3,195
42.28214,-71.12905,Townhouse,Entire home/apt,15,200
42.35178,-71.06368,Apartment,Entire home/apt,2,175
42.29537,-71.05958,Guest suite,Entire home/apt,4,150
42.36057,-71.06549,Apartment,Entire home/apt,2,250
42.35975,-71.06618,Apartment,Entire home/apt,3,200
42.34298,-71.07785,Apartment,Entire home/apt,2,200
42.33484,-71.02974,House,Entire home/apt,4,300
42.32505,-71.1063,Apartment,Entire home/apt,5,160
42.35943,-71.13342,Townhouse,Private room,4,88
42.31261,-71.0671,House,Private room,1,45
42.31258,-71.10784,Apartment,Private room,2,60
42.32953,-71.05844,House,Private room,2,76
42.33569,-71.07463,Apartment,Entire home/apt,2,153
42.36079,-71.06711,Apartment,Entire home/apt,2,147
42.34002,-71.08161,Apartment,Entire home/apt,4,500
42.31868,-71.10033,House,Entire home/apt,10,250
42.34484,-71.08935,Apartment,Entire home/apt,2,120
42.36178,-71.06872,Apartment,Private room,2,49
42.30503,-71.10333,Apartment,Entire home/apt,4,180
42.35618,-71.06196,Apartment,Entire home/apt,2,285
42.35028,-71.09424,Serviced apartment,Entire home/apt,3,245
42.34796,-71.1552,Apartment,Private room,2,145
42.3248,-71.09341,House,Entire home/apt,12,350
42.33589,-71.04015,House,Private room,2,190
42.38619,-71.00462,Condominium,Entire home/apt,2,90
42.35839,-71.0621,Apartment,Entire home/apt,4,249
42.36183,-71.07032,Apartment,Private room,2,49
42.28626,-71.13707,House,Entire home/apt,3,130
42.34028,-71.14327,Apartment,Shared room,2,44
42.38364,-71.0001,House,Entire home/apt,4,195
42.27683,-71.12956,House,Entire home/apt,5,175
42.36509,-71.05553,Loft,Entire home/apt,2,240
42.31169,-71.10116,Condominium,Private room,1,82
42.34516,-71.07167,Apartment,Entire home/apt,6,250
42.34549,-71.0791,Apartment,Entire home/apt,5,185
42.27198,-71.06379,House,Entire home/apt,4,120
42.33714,-71.05199,Apartment,Entire home/apt,2,225
42.3833,-71.06858,Apartment,Entire home/apt,2,150
42.34923,-71.1299,Condominium,Entire home/apt,4,100
42.3119,-71.10315,House,Private room,2,46
42.34152,-71.14918,Apartment,Entire home/apt,6,166
42.36696,-71.03278,House,Private room,2,110
42.3779,-71.06568,Condominium,Entire home/apt,5,450
42.30705,-71.11662,House,Entire home/apt,7,300
42.34967,-71.13114,Apartment,Entire home/apt,2,125
42.35819,-71.07177,Apartment,Entire home/apt,7,637
42.35842,-71.06891,Condominium,Entire home/apt,2,295
42.31315,-71.10479,House,Private room,2,81
42.35987,-71.0672,Apartment,Entire home/apt,4,148
42.34,-71.0813,Apartment,Entire home/apt,4,167
42.34503,-71.07666,Apartment,Entire home/apt,2,150
42.34364,-71.0769,Apartment,Entire home/apt,5,300
42.37456,-71.05978,Condominium,Entire home/apt,3,225
42.32499,-71.10549,Apartment,Entire home/apt,4,95
42.34206,-71.14396,Condominium,Private room,2,80
42.34294,-71.07297,Apartment,Entire home/apt,3,180
42.35812,-71.13091,Apartment,Entire home/apt,4,130
42.34419,-71.07609,Apartment,Entire home/apt,2,150
42.34364,-71.07572,Apartment,Entire home/apt,2,150
42.35157,-71.13165,Villa,Private room,2,70
42.33295,-71.04651,House,Entire home/apt,2,250
42.34306,-71.0872,Apartment,Entire home/apt,2,62
42.37603,-71.06592,Apartment,Private room,2,300
42.34339,-71.06977,Condominium,Entire home/apt,4,198
42.34661,-71.10466,Condominium,Private room,2,125
42.34123,-71.07725,Apartment,Entire home/apt,2,162
42.32916,-71.101,Apartment,Private room,2,69
42.3445,-71.10204,Apartment,Entire home/apt,5,186
42.31851,-71.05689,House,Private room,5,100
42.33138,-71.04516,House,Entire home/apt,5,350
42.36231,-71.13494,House,Private room,2,120
42.34311,-71.06897,Apartment,Private room,1,45
42.33417,-71.02951,Apartment,Entire home/apt,4,225
42.34507,-71.08048,Apartment,Entire home/apt,5,189
42.36126,-71.12532,House,Private room,2,69
42.35502,-71.13702,House,Private room,1,60
42.35499,-71.13681,House,Private room,1,70
42.29847,-71.11066,Condominium,Private room,1,88
42.28658,-71.13554,Townhouse,Private room,4,91
42.35001,-71.07757,Apartment,Entire home/apt,2,270
42.33005,-71.09853,Apartment,Private room,2,79
42.34646,-71.10341,Apartment,Entire home/apt,2,260
42.35037,-71.07034,House,Entire home/apt,6,495
42.33134,-71.05695,House,Private room,2,64
42.34475,-71.07026,Apartment,Private room,2,100
42.37619,-71.03354,Townhouse,Private room,2,75
42.34222,-71.14681,Apartment,Private room,2,75
42.36115,-71.12551,House,Private room,2,69
42.34412,-71.07048,Apartment,Shared room,3,95
