,CT,AV_BLDG,Sum_Aggrav,Sum_Aircra,Sum_Arson,Sum_Assemb,Sum_Auto_T,Sum_Auto_1,Sum_Ballis,Sum_Bomb_H,Sum_Commer,Sum_Crimin,Sum_Disord,Sum_Drug_V,Sum_Explos,Sum_Firear,Sum_HOME_I,Sum_Harass,Sum_Homici,Sum_Mansla,Sum_Offens,Sum_Reside,Sum_Robber,Sum_Search,Sum_Simple,Sum_Vandal,Sum_Warran
122,25025100601,258100.0,4212,0,0,0,5265,2106,3159,0,0,0,1053,4212,0,0,0,3159,0,0,1053,10530,4212,0,15795,29484,3159
123,25025100603,286300.0,3702,0,0,0,2468,617,0,0,4319,0,0,7404,0,0,0,3085,0,0,0,2468,1234,0,3702,7404,3085
124,25025100700,279700.0,2410,0,0,0,2410,3615,0,0,2410,0,1205,19280,0,0,0,7230,0,0,0,2410,1205,0,14460,24100,12050
125,25025100800,278250.0,9688,0,0,0,17992,1384,1384,0,0,0,1384,17992,0,2768,1384,9688,0,0,0,6920,8304,0,26296,26296,9688
126,25025100900,242400.0,13356,0,0,1113,8904,0,1113,1113,2226,0,2226,7791,0,2226,0,4452,1113,0,3339,15582,5565,0,32277,32277,7791
127,25025101001,169600.0,30290,0,0,0,15145,9320,2330,0,1165,0,2330,36115,0,9320,0,19805,4660,0,0,15145,25630,4660,59415,55920,17475
128,25025101002,207650.0,26400,0,0,0,4000,3200,3200,0,4800,0,0,24000,0,6400,0,15200,0,0,0,12800,4000,2400,32000,26400,9600
129,25025101101,227800.0,7252,0,0,0,6216,1036,0,0,518,0,518,5698,0,2072,0,4662,2072,0,518,2072,3108,2590,14504,15540,2072
130,25025101102,244700.0,24396,0,0,0,8346,3852,5136,642,2568,0,1926,10272,0,4494,0,14124,1284,0,1284,8346,15408,2568,55212,48150,10914
131,25025110103,319350.0,9488,0,0,1186,9488,0,1186,0,0,0,0,42696,0,1186,0,13046,0,0,0,5930,5930,4744,30836,33208,9488
132,25025110201,197300.0,2388,0,0,0,1990,0,0,398,0,0,1194,3184,0,796,398,3184,0,0,0,398,1194,0,4776,3980,1990
133,25025110301,252300.0,5341,0,0,0,4578,763,1526,0,763,0,2289,6104,0,763,0,763,0,0,763,5341,763,0,12971,5341,2289
134,25025110401,257000.0,6680,0,835,835,6680,0,835,0,0,0,1670,8350,0,835,0,4175,0,0,0,1670,4175,835,18370,17535,1670
135,25025110403,257100.0,2416,0,0,0,4832,0,0,0,0,0,0,15704,0,1208,1208,14496,0,0,1208,7248,1208,2416,13288,9664,3624
136,25025110501,288050.0,2820,0,0,0,940,0,0,0,0,0,0,5640,0,0,0,3760,0,0,0,1880,940,0,3760,1880,1880
137,25025110502,276600.0,11130,0,0,0,3339,0,0,0,5565,0,2226,16695,0,0,0,7791,0,0,0,3339,5565,3339,20034,23373,3339
138,25025110601,304700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1806,0,0,0,0,0,0,0,1806,0
139,25025110607,329300.0,1545,0,0,0,0,0,0,0,1545,0,0,9270,0,0,0,20085,0,0,0,4635,0,0,12360,4635,1545
140,25025120103,540600.0,2088,0,0,0,522,0,0,0,0,0,522,1044,0,0,0,1566,0,0,0,1044,0,0,1044,2088,1044
141,25025120104,349350.0,654,0,0,0,654,0,0,0,0,0,0,1308,0,0,0,2616,0,0,0,0,654,0,1962,3924,1308
142,25025120105,441900.0,0,0,0,0,0,0,0,0,851,0,0,0,0,0,0,851,0,0,0,0,0,851,2553,1702,851
143,25025120201,353900.0,5817,0,0,831,4986,831,0,0,1662,0,831,12465,0,1662,0,5817,831,0,831,9141,2493,0,19113,13296,4986
144,25025120301,354600.0,14768,0,0,1136,15904,0,3408,0,3408,0,2272,135184,0,2272,1136,7952,0,0,0,18176,7952,4544,29536,30672,17040
145,25025120400,451900.0,5400,0,0,0,9000,9000,0,1800,0,1800,3600,16200,0,0,0,12600,0,0,0,30600,0,0,43200,27000,14400
146,25025120500,442700.0,5350,0,0,535,1605,0,0,0,1070,0,1070,11770,0,2140,0,2140,1605,0,0,5885,2675,535,9630,4280,8025
147,25025120600,462000.0,1947,0,0,0,3245,649,0,0,649,0,0,3245,0,0,0,649,0,0,0,3245,649,0,2596,5192,5192
148,25025120700,400050.0,812,0,0,0,2436,812,406,0,0,0,812,0,0,0,0,0,0,0,406,2842,1218,0,1624,1624,812
149,25025130100,256200.0,8516,0,0,2129,2129,0,2129,0,4258,0,6387,8516,0,4258,0,14903,0,0,0,4258,6387,0,40451,14903,4258
150,25025130200,328400.0,7765,0,0,0,4659,0,0,0,3106,1553,1553,4659,0,3106,0,7765,0,0,0,1553,3106,0,31060,18636,3106
151,25025130300,305200.0,1531,0,0,0,3062,1531,1531,0,0,0,1531,120949,0,0,0,9186,0,0,0,7655,1531,4593,9186,13779,3062
152,25025130402,234900.0,16753,0,0,0,7615,1523,0,0,10661,1523,1523,1523,0,0,0,7615,0,0,3046,3046,7615,1523,33506,18276,0
153,25025130404,226400.0,820,0,0,0,1640,0,0,0,820,0,820,13120,0,1640,0,6560,0,0,0,5740,1640,0,9840,9840,2460
154,25025130406,224250.0,6700,0,0,0,2010,0,0,0,0,0,1340,8710,0,0,0,11390,0,0,0,7370,0,0,14070,12730,2680
155,25025140102,215700.0,17864,0,0,0,3828,1276,0,0,2552,0,1276,12760,1276,1276,0,17864,0,0,1276,3828,1276,5104,30624,42108,3828
156,25025140105,200400.0,1982,0,0,0,2973,1982,991,0,0,0,1982,8919,0,0,0,4955,0,0,0,1982,0,1982,14865,17838,1982
157,25025140106,267500.0,249,0,0,0,249,83,83,0,0,0,83,332,0,0,0,581,0,0,83,996,0,166,664,747,249
158,25025140107,210450.0,3876,0,0,646,646,1292,0,0,0,0,0,2584,0,0,0,3230,0,0,646,2584,646,646,6460,7752,646
159,25025140201,215700.0,1836,0,0,0,1377,918,0,0,1836,0,1377,6885,0,0,0,5508,0,0,459,2754,3213,459,5049,3213,2295
160,25025140202,209100.0,26320,0,0,0,9212,5264,2632,0,1316,1316,1316,9212,0,1316,0,25004,0,0,1316,11844,6580,1316,36848,60536,3948
